browser	сity	value
Критерий1	Уренгой	10
Chlen	2008-04	8
Chlen	2008-07	14
Chlen	2008-10	9
Chlen	2009-01	10
Chlen	2009-04	8
Chlen	2009-07	14
Chlen	2009-10	9
Chlen	2010-01	10
Chlen	2010-04	8
Chlen	2010-07	14
Chlen	2010-10	9
Критерий1	Уренгой	3
Firefox	2008-04	3.5
Firefox	2008-07	5
Firefox	2008-10	11
Firefox	2009-01	3
Firefox	2009-04	3.5
Firefox	2009-07	4.5
Firefox	2009-10	10.5
Firefox	2010-01	3
Firefox	2010-04	3.5
Firefox	2010-07	4
Firefox	2010-10	10
Критерий1	Уренгой	10
Safari	2008-04	8
Safari	2008-07	14
Safari	2008-10	9
Safari	2009-01	10
Safari	2009-04	8
Safari	2009-07	14
Safari	2009-10	9
Safari	2010-01	10
Safari	2010-04	8
Safari	2010-07	13.5
Safari	2010-10	8.5
Критерий1	Уренгой	3
Opera	2008-04	3.5
Opera	2008-07	5
Opera	2008-10	11
Opera	2009-01	3
Opera	2009-04	3.5
Opera	2009-07	4.5
Opera	2009-10	10.5
Opera	2010-01	3
Opera	2010-04	3.5
Opera	2010-07	4
Opera	2010-10	10
